dataset_name,sensitive_name,classifier_name,tot_inputs_AEQUITAS,tot_inputs_ExpGA,tot_inputs_FairPES,tot_inputs_SG,tot_inputs_VBTX,disc_inputs_AEQUITAS,disc_inputs_ExpGA,disc_inputs_FairPES,disc_inputs_SG,disc_inputs_VBTX,disc_rate_AEQUITAS,disc_rate_ExpGA,disc_rate_FairPES,disc_rate_SG,disc_rate_VBTX,total_generated_AEQUITAS,total_generated_ExpGA,total_generated_FairPES,total_generated_SG,total_generated_VBTX,duplicates_AEQUITAS,duplicates_ExpGA,duplicates_FairPES,duplicates_SG,duplicates_VBTX,duplication_rate_AEQUITAS,duplication_rate_ExpGA,duplication_rate_FairPES,duplication_rate_SG,duplication_rate_VBTX,elapsed_time_AEQUITAS,elapsed_time_ExpGA,elapsed_time_FairPES,elapsed_time_SG,elapsed_time_VBTX,time_to_1000_disc_AEQUITAS,time_to_1000_disc_ExpGA,time_to_1000_disc_FairPES,time_to_1000_disc_SG,time_to_1000_disc_VBTX,egs_AEQUITAS,egs_ExpGA,egs_FairPES,egs_SG,egs_VBTX,inference_count_AEQUITAS,inference_count_ExpGA,inference_count_FairPES,inference_count_SG,inference_count_VBTX
census,race,SVC,2704,202347,948808,1453,20700,32,23230,225595,36,216,1.06,11.48,23.77,2.21,1.04,50316,456628,1000200,1580,20700,47612,254280,51392,128,0,94.67,55.7,5.14,7.24,0,131.99,3300.11,2148.04,3301.13,3307.41,,1850.65,30.52,,,0.26,7.04,105.09,0.01,0.07,,,4566855.75,,
census,race,Sequential,2890,30634,268621,13109,18550,209,7736,165374,3248,498,7.23,21.3,61.57,24.78,2.68,96689,155955,278900,18181,18550,93799,125321,10279,5072,0,97.01,85.61,3.69,27.9,0,1235.76,3300.36,3302.95,3300.08,3314.35,,2144.1,69.38,1213.95,,0.17,2.34,50.07,0.98,0.15,,,1100840.5,,
census,sex,DecisionTreeClassifier,6596,556196,966522,22700,19249,477,383433,819238,6502,6376,10.04,68.94,84.76,28.14,33.06,199202,1000083,1000200,29130,19250,192606,443887,33678,6430,1,96.99,44.39,3.37,20.81,0.01,27.54,199.8,196.09,3300.09,3311.93,,3.48,0.54,1894.08,477.32,17.88,1919.29,4178.51,1.97,1.93,,,2000400,,
census,sex,RandomForestClassifier,7918,340998,579382,13565,17575,627,182252,408994,4483,3392,6.46,53.45,70.59,31,19.31,244972,608377,603000,20465,17575,237054,267378,23618,6900,0,96.72,43.95,3.91,32.05,0,711.74,3300.84,3302.01,10483.54,3309.96,899.88,43.56,20.47,,465.26,0.73,55.21,123.86,1.32,1.02,,,1206000,,
census,sex,SVC,1474,413642,953439,1508,20250,8,27951,172266,20,300,0.38,6.47,18.07,1.14,1.49,24813,1000100,1000200,1583,20250,23338,586458,46761,74,0,94.08,58.64,4.68,4.3,0,28.28,2383.62,962.17,3301.38,3307.2,,1491.21,19.15,,,0.24,11.73,179.04,0.01,0.09,,,2000400,,
census,sex,Sequential,2078,81827,524282,8073,18750,54,14134,227700,1094,787,2.6,16.55,43.43,13.55,4.2,53605,527975,546500,17231,18750,51527,446148,22218,9158,0,96.12,85.21,4.07,53.15,0,383.6,3300.6,3302.39,3300.38,3304.49,,1033.9,38.66,3019.89,,0.14,4.28,68.95,0.33,0.24,,,1093000,,
compas,age,DecisionTreeClassifier,16689,520851,868621,15637,37325,5574,447542,784371,8516,29748,33.43,85.93,90.3,54.47,79.69,1032612,1000008,1000200,27234,37325,1015923,479157,131579,11598,0,98.38,47.92,13.16,42.52,0,157.32,855.05,386.62,3300.07,3302.05,29.28,3.53,0.62,262.64,69.83,35.99,538.82,2042.12,2.58,9.01,,,4440865,,
compas,age,RandomForestClassifier,40840,54766,199801,7471,20900,2870,34745,156094,3125,3968,6.94,63.18,78.21,41.69,19,896503,108159,237000,23934,20900,855663,53393,37199,16463,0,95.4,49.31,15.76,68.96,0,12740.66,3303.52,3302.66,3300.12,3312.79,5227.38,176.96,55.25,673.7,492.27,0.22,10.52,47.26,0.95,1.2,,,1215311.25,,
compas,age,SVC,20509,518472,853681,782,20950,3820,335566,638433,498,2984,18.36,64.71,74.78,64.52,14.23,934699,998267,1000200,4768,20950,914190,479796,146519,3986,0,97.78,48.06,14.65,82.67,0,712.69,3012,1516.67,3300.51,3308.34,245.72,142.99,4.74,,464.3,5.43,115.66,421.28,0.15,0.9,,,6966280.25,,
compas,age,Sequential,13971,23246,197718,,20650,1906,16022,171189,,2152,13.64,75.49,86.61,,10.42,530116,81267,228200,,20650,516145,58021,30482,,0,97.36,78.92,13.36,,0,7582.2,3304.09,3301.68,,3301.75,3888.75,308.25,48.26,,715.47,0.25,4.85,51.85,,0.65,,,1100593.5,,
compas,race,DecisionTreeClassifier,10326,523512,869234,16054,39225,5362,470947,828600,11512,32016,52.64,89.96,95.33,71.64,81.63,1026102,1000067,1000200,26325,39225,1015776,476555,130966,10271,0,98.99,47.65,13.09,39.18,0,71.46,657.81,314.45,3300.13,3300.38,12.99,2.79,0.45,194.84,64.73,76.31,734.12,2636.48,3.49,9.7,,,3470317.75,,
compas,race,RandomForestClassifier,22734,93009,307382,7559,24924,4338,72346,282195,3771,13858,18.89,77.77,91.84,49.57,55.62,940854,179770,359000,23198,24925,918119,86761,51618,15639,1,97.51,48.26,14.39,67.05,0,4370.71,3301.88,3302.93,3300.1,3300.66,1867.36,70.69,26.68,529.04,116.31,1,21.91,85.44,1.14,4.2,,,1212761.5,,
compas,race,SVC,32290,508169,834201,1061,19700,3032,281131,617804,581,2560,9.6,55.32,74.06,53.77,13.09,962502,1000107,1000200,5443,19700,930211,491938,165999,4382,0,96.67,49.19,16.6,80.46,0,815.18,2033.72,1027.85,3300.2,3312.74,276.07,181.74,4.51,,754.27,3.82,141.79,601.57,0.18,0.77,,,4667537,,
compas,race,Sequential,17070,27351,204614,,19250,144,12118,132914,,690,0.84,38.79,64.96,,3.58,241761,129577,240800,,19250,224691,102226,36186,,0,92.94,85.29,15.03,,0,5413.2,3304.03,3304.09,,3308.03,,1201.55,46.84,,,0.03,3.67,40.23,,0.21,,,1104638.5,,
compas,sex,DecisionTreeClassifier,34282,514129,866358,19720,33200,2739,413020,761043,7572,25580,6.71,80.33,87.85,38.39,77.05,847905,1000129,1000200,27296,33200,813622,486000,133842,7576,0,96.3,48.59,13.38,27.72,0,110.67,201.69,197.38,3300.14,3302.94,48.08,5.91,0.43,321.96,63.21,20.83,2047.79,3855.83,2.29,7.74,,,2000400,,
compas,sex,RandomForestClassifier,21948,304501,508986,6513,18975,460,155288,384146,1580,3306,2.02,51,75.43,24.27,17.43,352049,607487,605900,21974,18975,330102,302986,96914,15461,0,93.85,49.88,16,69.95,0,1649.85,3300.65,3301.87,3300.13,3303.94,,74.22,22.74,1804.55,553.93,0.26,47.05,116.34,0.48,1,,,1211800,,
compas,sex,SVC,5460,238213,796305,1504,18325,29,17072,286440,164,360,0.45,5.9,35.98,9.95,1.96,70059,1000081,1000200,4841,18325,64599,761868,203895,3338,0,91.91,76.18,20.39,67.57,0,43.49,808.15,462.25,3300.29,3306.73,,477.22,9.46,,,0.59,20.86,619.68,0.05,0.11,,,2000400,,
compas,sex,Sequential,13845,77478,462383,,18650,79,28703,292086,,1897,0.57,37.77,63.17,,10.17,190989,527576,548600,,18650,177144,450098,86217,,0,92.75,85.87,15.72,,0,1498.29,3300.44,3302.28,,3307.2,,621.26,24.9,,1039.56,0.05,8.7,88.45,,0.57,,,1097200,,
credit,age,DecisionTreeClassifier,10841,564014,863452,34410,44825,1590,509136,779482,12732,33160,14.46,90.27,90.28,36.98,73.78,758492,1000049,1000200,39354,44825,747651,436035,136748,4944,0,98.58,43.6,13.67,12.52,0,211.68,875.74,468.03,3300.09,3301.96,143.2,3.86,0.94,232.15,65.14,6.81,594.29,1674.68,3.86,10.04,,,5441173.75,,
credit,age,RandomForestClassifier,9833,65860,167953,21667,15250,2385,39246,144601,14126,3268,24.03,58.47,86.1,65.22,21.43,944586,117553,200700,26120,15250,934753,51694,32747,4452,0,98.95,43.98,16.37,17.11,0,5725.88,3302.54,3304.86,3300.12,3302.95,2468.23,152.62,35.86,205.62,629.11,0.44,11.88,43.75,4.28,0.99,,,1224114.25,,
credit,age,SVC,3751,550255,875676,23784,18935,305,347596,415638,7611,2621,7.87,63.16,47.49,31.97,13.86,191750,1000066,1000200,25418,18975,187999,449811,124524,1634,40,98.05,44.98,12.45,6.31,0.21,113.71,1263.57,720.44,3300.12,3306.94,,25.65,5.7,501.72,712.97,2.61,284.62,576.91,2.31,0.79,,,6241222,,
credit,age,Sequential,8104,29994,163956,19338,18500,1399,21066,102282,9758,2481,17.26,76.91,62.34,50.46,13.41,642311,92204,189800,22031,18500,634207,62209,25844,2693,0,98.74,75.22,13.64,12.22,0,7601.51,3303.73,3303.62,3300.17,3310.86,5743.84,265.42,69.73,317.85,1071.86,0.18,6.38,30.96,2.96,0.75,,,1095747.33,,
credit,sex,DecisionTreeClassifier,2295,578861,837481,37236,33725,248,414060,690889,12573,18982,7.08,71.49,82.49,33.78,56.29,133809,1000147,1000200,40799,33725,131514,421286,162719,3563,0,98.27,42.12,16.27,8.7,0,15.41,205.17,198.32,3300.06,3302.03,,4.13,0.82,247.52,148.56,11.43,2017.98,3483.79,3.81,5.75,,,2000400,,
credit,sex,RandomForestClassifier,16291,335069,505976,26332,13725,1195,148610,365373,12185,1200,7.57,44.35,72.2,46.41,8.74,807950,608671,609533,31248,13725,791659,273602,103558,4916,0,98.03,44.95,16.99,15.78,0,2619.96,3300.73,3302.64,3300.13,3312.67,2186.06,44.61,19.17,289.56,2490.27,0.44,45.02,110.63,3.69,0.36,,,1219066.67,,
credit,sex,SVC,1012,361694,854246,6882,18215,1,17122,89732,34,417,0.06,4.68,10.53,0.47,2.28,27300,1000144,1000200,27085,18220,26288,638450,145954,20203,5,96.38,63.84,14.59,72.3,0.03,8.8,286.69,256.4,3300.07,3307.41,,43.45,9.46,,,0.08,59.72,349.94,0.01,0.13,,,2000400,,
credit,sex,Sequential,9248,83720,472885,16387,17450,540,28968,192327,4150,1749,5.89,32.7,40.68,25.32,10.02,440578,527266,550733,24501,17450,431330,443546,77848,8114,0,97.91,84.72,14.13,33.12,0,2483.7,3300.54,3302.15,3300.28,3303.45,,217.89,35.65,696.03,1826.67,0.22,8.78,58.24,1.26,0.53,,,1101466.67,,
meps,sex,DecisionTreeClassifier,11993,766181,979348,17785,,1092,622996,917057,12750,,10.05,81.31,93.64,71.63,,890816,1000019,1000200,19073,,878823,233838,20852,1288,,98.61,23.38,2.08,6.7,,107.05,226.9,213.05,3300.11,,92.8,3.26,0.41,254.78,,10.4,2745.83,4304.61,3.86,,,,2000400,,
meps,sex,RandomForestClassifier,11937,464819,584382,18654,,1450,206664,417628,10014,,12.13,44.46,71.46,53.52,,1055263,607228,600200,19498,,1043327,142410,15818,844,,98.87,23.45,2.64,4.37,,2465.36,3301.11,3303.54,3300.08,,1623.22,32.41,17.03,358.89,,0.6,62.6,126.42,3.03,,,,1200400,,
meps,sex,SVC,7368,760314,961960,2996,,244,94256,150938,9,,2.71,12.4,15.71,0.27,,475737,1000077,1000200,3028,,468368,239763,38240,32,,98.5,23.97,3.82,1.03,,234.93,1474.63,601.29,3300.9,,,875.06,9.07,,,0.88,63.92,251.04,0,,,,2000400,,
meps,sex,Sequential,9098,188872,534973,12877,,982,131608,362361,5240,,10.79,77.58,67.74,40.69,,1054371,522400,547500,13539,,1045273,333528,12527,662,,99.14,64.54,2.29,4.89,,4659.33,3301.22,3303.8,3300.13,,,37.94,12.85,611.16,,0.21,39.86,109.68,1.59,,,,1095000,,
,,,11216,307588.75,634232.82,13624.9,21466.8,1703.64,181283.02,419703.41,6055.68,6560.93,14.82,55.7,67.73,38.62,23.52,565894.02,618875.2,696844.68,18850.39,21468,554677.98,311286.39,62611.89,5225.54,1.18,97.18,55.15,9.1,26.62,0.01,1989.87,2307.63,2044.16,3475.49,3306.46,1283.37,351.3,22.18,733.2,787.2,8.48,339.14,900.1,1.83,1.99,#DIV/0!,#DIV/0!,2426098.35,,
